Order_ID,Product_ID,Product_Category,Product_Price,User_ID,User_Location,User_Age,User_Gender,Payment_Method,Shipping_Method,Discount_Applied,Returned_Flag,Return_Prob
ORD00000000,PROD00000000,Clothing,411.59,USER00000000,City54,58,Male,Debit Card,Next-Day,45.27,1,0.5496674398090969
ORD00000001,PROD00000001,Books,288.88,USER00000001,City85,68,Female,Credit Card,Express,47.79,1,0.5301248693866645
ORD00000002,PROD00000002,Toys,390.03,USER00000002,City30,22,Female,Debit Card,Next-Day,26.64,0,0.5252882296143573
ORD00000004,PROD00000004,Books,110.09,USER00000004,City80,34,Female,Gift Card,Standard,16.37,0,0.5148299300111822
ORD00000005,PROD00000005,Electronics,252.12,USER00000005,City47,46,Female,Debit Card,Next-Day,47.61,1,0.5447169736288272
ORD00000006,PROD00000006,Clothing,382.89,USER00000006,City50,25,Male,Credit Card,Express,28.49,1,0.544554667180437
ORD00000007,PROD00000007,Electronics,306.39,USER00000007,City39,67,Female,Credit Card,Express,38.91,1,0.5199974011105821
ORD00000009,PROD00000009,Clothing,294.94,USER00000009,City82,44,Male,Credit Card,Standard,45.21,1,0.558418292546806
ORD00000013,PROD00000013,Electronics,198.78,USER00000013,City85,51,Male,PayPal,Next-Day,36.58,0,0.5019415310364224
ORD00000014,PROD00000014,Electronics,146.37,USER00000014,City9,45,Male,PayPal,Next-Day,28.23,0,0.5009780426601955
ORD00000015,PROD00000015,Electronics,370.08,USER00000015,City27,24,Female,Credit Card,Standard,23.99,1,0.5215509086647266
ORD00000019,PROD00000019,Electronics,227.94,USER00000019,City64,50,Female,Debit Card,Express,43.86,1,0.5443596897800751
ORD00000020,PROD00000020,Clothing,6.14,USER00000020,City70,31,Female,Credit Card,Next-Day,47.47,0,0.5799406470290396
ORD00000021,PROD00000021,Books,85.69,USER00000021,City26,30,Female,Debit Card,Standard,24.58,1,0.5274140534431988
ORD00000022,PROD00000022,Books,227.2,USER00000022,City90,65,Female,Gift Card,Next-Day,27.94,1,0.5124237878869125
ORD00000023,PROD00000023,Electronics,57.14,USER00000023,City28,41,Female,Gift Card,Standard,43.06,1,0.544383980934223
ORD00000026,PROD00000026,Toys,232.97,USER00000026,City98,21,Female,Debit Card,Express,9.85,0,0.507034795842324
ORD00000028,PROD00000028,Toys,106.6,USER00000028,City69,53,Male,Credit Card,Standard,18.42,1,0.5002690664664288
